Course,Course Title,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Extracted_Link,Prerequisites
"COMP_SCI 396, 496",Data Management Seminar,,9:30-10:50 TuTh Rogers,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-6.html,"213-level knowledge needed, will benefit from 339 (DB), 343 (OS) background"
"COMP_SCI 396, 496",Human-AI Interaction Research,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-7.html,IC
"COMP_SCI 396, 496",Misinformation and Disinformation in the Age of AI,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-9.html,"CS seniors, CS grad students only"
"COMP_SCI 396, 496",Programming Languages Seminar,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-10.html,Register by IC only
"COMP_SCI 396, 496",Security and Privacy Education,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-13.html,IC Required
"COMP_SCI 396, 496",Mobile and Ubiquitous computing,9:30-10:50 TuTh Arora,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-14.html,"No prerequisite. Basic courses like CS 110, CE 203 would be helpful, but not needed"
"COMP_SCI 396, 496",AI Perspectives,,,2-4:50 F Alam,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-15.html,See prerequisites below
"COMP_SCI 396, 496",AI for Science and Business,,,3-5:40 W or 2-4:40 Th (2 sections) Choudhary,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-16.html,"CS seniors, CS grad students only"
"COMP_SCI 396, 496",NUVention Media,,12:30- 3:20 Th Gilbert & Birnbaum,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-18.html,"COMP_SCI 348, 349"
"COMP_SCI 396, 496",Advanced Topics in Ubiquitous Computing,,,10-12:50 Th Ahuja,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/396-496-21.html,IC
